Rk,Player,PTS,Date,Age,Team,...7,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,GmSc,BPM,Pos.
337,LeBron James,32,3/2/05,20-062,CLE,NA,SEA,L 86-103,1,41,11,20,0.55,6,13,0.462,5,7,0.714,5,8,0.625,0.68,0,5,5,5,0,0,4,2,21.4,11,F-G
338,LeBron James,32,4/19/05,20-110,CLE,NA,BOS,W 100-86,1,46,13,27,0.481,11,24,0.458,2,3,0.667,4,5,0.8,0.548,1,7,8,6,5,0,3,3,25.7,8.4,F-G
339,LeBron James,32,12/9/05,20-344,CLE,NA,NJN,L 100-109,1,45,11,26,0.423,11,22,0.5,0,4,0,10,15,0.667,0.491,2,4,6,3,0,1,7,3,13.4,-5.8,F-G
340,LeBron James,32,12/26/05,20-361,CLE,NA,CHI,W 102-91,1,45,12,25,0.48,12,20,0.6,0,5,0,8,12,0.667,0.528,1,7,8,6,2,2,2,0,26.1,8.3,F-G
341,LeBron James,32,1/4/06,21-005,CLE,@,MIL,W 91-84,1,46,12,29,0.414,10,21,0.476,2,8,0.25,6,7,0.857,0.499,2,9,11,11,5,1,4,1,29.2,15.4,F-G
342,LeBron James,32,1/5/06,21-006,CLE,NA,HOU,L 81-90,1,44,13,19,0.684,10,12,0.833,3,7,0.429,3,6,0.5,0.739,1,8,9,5,1,0,3,4,25.7,14.5,F-G
343,LeBron James,32,4/10/06,21-101,CLE,@,NOK,W 103-101,1,42,12,24,0.5,12,21,0.571,0,3,0,8,12,0.667,0.546,1,3,4,6,0,0,2,1,21.8,-1.1,F-G
344,LeBron James,32,11/15/06,21-320,CLE,NA,POR,W 100-87,1,39,10,15,0.667,7,9,0.778,3,6,0.5,9,11,0.818,0.806,0,7,7,7,2,1,4,2,29.6,19.6,F-G
345,LeBron James,32,12/23/06,21-358,CLE,NA,ORL,W 86-83,1,43,13,21,0.619,11,18,0.611,2,3,0.667,4,10,0.4,0.63,0,7,7,1,0,0,7,1,15.5,5,F-G
346,LeBron James,32,12/29/06,21-364,CLE,NA,MIL,W 109-99,1,44,11,21,0.524,9,15,0.6,2,6,0.333,8,13,0.615,0.599,1,3,4,5,1,1,3,5,21.5,4.2,F-G
347,LeBron James,32,1/3/07,22-004,CLE,@,BOS,W 107-104,1,45,11,20,0.55,9,17,0.529,2,3,0.667,8,10,0.8,0.656,1,5,6,4,3,1,3,0,27.3,9.2,F-G
348,LeBron James,32,1/20/07,22-021,CLE,@,GSW,W 106-104 (OT),1,46,14,22,0.636,12,15,0.8,2,7,0.286,2,5,0.4,0.661,0,7,7,5,4,0,9,2,20.8,5.1,F-G
349,LeBron James,32,3/5/07,22-065,CLE,NA,HOU,W 91-85,1,42,12,24,0.5,9,18,0.5,3,6,0.5,5,9,0.556,0.572,1,11,12,8,0,0,3,2,24.2,10.3,F-G
350,LeBron James,32,3/10/07,22-070,CLE,@,MIL,W 94-92,1,37,12,22,0.545,8,16,0.5,4,6,0.667,4,4,1,0.673,0,8,8,9,3,1,6,5,25.8,15.2,F-G
351,LeBron James,32,11/7/07,22-312,CLE,@,UTA,L 101-103,1,41,12,27,0.444,11,23,0.478,1,4,0.25,7,15,0.467,0.476,2,13,15,13,3,2,4,4,27.9,14.7,F-G
352,LeBron James,32,12/19/07,22-354,CLE,@,NYK,L 90-108,1,37,12,21,0.571,9,15,0.6,3,6,0.5,5,6,0.833,0.677,1,7,8,6,6,0,4,1,30.3,22,F-G
353,LeBron James,32,2/7/08,23-039,CLE,@,HOU,L 77-92,1,41,12,23,0.522,10,18,0.556,2,5,0.4,6,11,0.545,0.575,1,6,7,6,2,2,3,0,25.8,17.4,F-G
354,LeBron James,32,11/29/08,23-335,CLE,@,MIL,W 97-85,1,41,12,27,0.444,11,22,0.5,1,5,0.2,7,10,0.7,0.51,1,6,7,5,2,1,3,3,21.2,10.4,F-G
355,LeBron James,32,12/17/08,23-353,CLE,@,MIN,W 93-70,1,40,14,20,0.7,12,14,0.857,2,6,0.333,2,4,0.5,0.735,0,6,6,3,2,2,0,1,29.7,22.3,F-G
356,LeBron James,32,1/23/09,24-024,CLE,@,GSW,W 106-105,1,41,10,24,0.417,8,19,0.421,2,5,0.4,10,16,0.625,0.515,2,7,9,8,3,2,2,2,27.5,12.6,F-G
357,LeBron James,32,3/10/09,24-070,CLE,@,LAC,W 87-83,1,44,10,23,0.435,10,17,0.588,0,6,0,12,16,0.75,0.533,4,9,13,11,2,2,4,2,30.1,18.5,F-G
358,LeBron James,32,11/21/09,24-326,CLE,NA,PHI,W 97-91,1,39,13,20,0.65,11,16,0.688,2,4,0.5,4,6,0.667,0.707,0,7,7,9,0,0,5,3,24.6,9.4,F-G
359,LeBron James,32,1/16/10,25-017,CLE,@,LAC,W 102-101,1,39,12,20,0.6,9,14,0.643,3,6,0.5,5,7,0.714,0.693,2,2,4,4,2,1,5,3,23.3,9.5,F-G
360,LeBron James,32,1/25/10,25-026,CLE,@,MIA,W 92-91,1,39,9,23,0.391,7,14,0.5,2,9,0.222,12,17,0.706,0.525,0,9,9,4,1,0,4,3,18.8,5.6,F-G
361,LeBron James,32,1/31/10,25-032,CLE,NA,LAC,W 114-89,1,40,10,20,0.5,5,14,0.357,5,6,0.833,7,8,0.875,0.68,1,2,3,11,1,0,1,1,30.2,15,F-G
362,LeBron James,32,2/9/10,25-041,CLE,NA,NJN,W 104-97,1,42,13,21,0.619,12,17,0.706,1,4,0.25,5,9,0.556,0.641,0,3,3,11,1,0,3,0,27.5,7.7,F-G
363,LeBron James,32,2/11/10,25-043,CLE,NA,ORL,W 115-106,1,45,10,21,0.476,8,15,0.533,2,6,0.333,10,12,0.833,0.609,1,7,8,13,2,0,3,2,30.6,11.4,F-G
364,LeBron James,32,3/17/10,25-077,CLE,NA,IND,W 99-94,1,39,11,24,0.458,9,20,0.45,2,4,0.5,8,10,0.8,0.563,1,8,9,9,3,2,6,2,25.8,12.9,F-G
365,LeBron James,32,11/19/10,25-324,MIA,NA,CHA,W 95-87,1,39,12,25,0.48,10,20,0.5,2,5,0.4,6,7,0.857,0.57,0,2,2,5,2,0,4,1,20.6,9.9,F-G
366,LeBron James,32,12/17/10,25-352,MIA,@,NYK,W 113-91,1,38,14,23,0.609,11,17,0.647,3,6,0.5,1,3,0.333,0.658,1,10,11,10,1,0,5,1,27,10.5,F-G
367,LeBron James,32,12/18/10,25-353,MIA,@,WAS,W 95-94,1,41,9,19,0.474,6,12,0.5,3,7,0.429,11,12,0.917,0.659,1,6,7,6,1,0,4,3,24.4,7.9,F-G
368,LeBron James,32,3/25/11,26-085,MIA,NA,PHI,W 111-99,1,41,11,17,0.647,10,13,0.769,1,4,0.25,9,9,1,0.763,2,8,10,2,3,1,4,3,28.2,10.3,F-G
369,LeBron James,32,1/7/12,27-008,MIA,@,NJN,W 101-90,1,37,11,17,0.647,11,16,0.688,0,1,0,10,12,0.833,0.718,0,7,7,9,2,1,8,2,26,9.2,F-G
370,LeBron James,32,1/25/12,27-026,MIA,@,DET,W 101-98,1,42,9,20,0.45,8,17,0.471,1,3,0.333,13,14,0.929,0.612,1,5,6,7,2,0,4,3,25.1,5.5,F-G
371,LeBron James,32,4/22/12,27-114,MIA,NA,HOU,W 97-88,1,36,11,21,0.524,10,18,0.556,1,3,0.333,9,10,0.9,0.63,1,7,8,5,1,2,5,1,24.6,14.1,F-G
372,LeBron James,32,1/2/13,28-003,MIA,NA,DAL,W 119-109 (OT),1,42,11,20,0.55,10,17,0.588,1,3,0.333,9,11,0.818,0.644,1,11,12,9,3,1,4,0,31.6,13.4,F-G
373,LeBron James,32,1/14/13,28-015,MIA,@,UTA,L 97-104,1,44,13,19,0.684,11,15,0.733,2,4,0.5,4,4,1,0.771,1,3,4,6,3,2,3,5,29.1,14.2,F-G
374,LeBron James,32,2/6/13,28-038,MIA,NA,HOU,W 114-108,1,37,11,18,0.611,8,12,0.667,3,6,0.5,7,10,0.7,0.714,1,5,6,5,0,2,4,2,24.9,8.9,F-G
375,LeBron James,32,2/10/13,28-042,MIA,NA,LAL,W 107-97,1,36,12,18,0.667,11,16,0.688,1,2,0.5,7,8,0.875,0.743,1,6,7,4,3,0,4,4,26.5,12.4,F-G
376,LeBron James,32,3/24/13,28-084,MIA,NA,CHA,W 109-77,1,34,11,14,0.786,11,13,0.846,0,1,0,10,11,0.909,0.849,0,8,8,10,3,3,4,0,36.7,25.8,F-G
377,LeBron James,32,3/27/13,28-087,MIA,@,CHI,L 97-101,1,40,11,17,0.647,9,12,0.75,2,5,0.4,8,11,0.727,0.733,0,7,7,3,2,4,4,1,27.9,13.9,F-G
378,LeBron James,32,1/7/14,29-008,MIA,NA,NOP,W 107-88,1,35,13,22,0.591,10,16,0.625,3,6,0.5,3,3,1,0.686,1,2,3,5,2,0,3,1,25.2,14.5,F-G
379,LeBron James,32,1/9/14,29-010,MIA,@,NYK,L 92-102,1,41,12,17,0.706,11,13,0.846,1,4,0.25,7,11,0.636,0.733,0,5,5,6,1,1,6,2,23.9,6.3,F-G
380,LeBron James,32,3/24/14,29-084,MIA,NA,POR,W 93-91,1,38,13,23,0.565,13,22,0.591,0,1,0,6,9,0.667,0.593,4,2,6,5,4,0,5,2,25,13.4,F-G
381,LeBron James,32,3/31/14,29-091,MIA,NA,TOR,W 93-83,1,39,11,20,0.55,10,14,0.714,1,6,0.167,9,11,0.818,0.644,0,7,7,8,1,0,6,2,23.5,9.2,F-G
382,LeBron James,32,11/10/14,29-315,CLE,NA,NOP,W 118-111,1,40,9,17,0.529,8,14,0.571,1,3,0.333,13,17,0.765,0.654,2,9,11,9,1,1,4,1,29.8,8.8,F-G
383,LeBron James,32,11/15/14,29-320,CLE,NA,ATL,W 127-94,1,29,13,20,0.65,9,15,0.6,4,5,0.8,2,4,0.5,0.735,2,4,6,7,0,1,3,1,27.2,13.4,F-G
384,LeBron James,32,1/16/15,30-017,CLE,@,LAC,W 126-121,1,42,11,23,0.478,8,15,0.533,3,8,0.375,7,12,0.583,0.566,0,11,11,7,3,0,9,4,18.9,-1.3,F-G
385,LeBron James,32,1/27/15,30-028,CLE,@,DET,W 103-95,1,36,11,24,0.458,11,20,0.55,0,4,0,10,11,0.909,0.555,0,6,6,7,1,0,4,3,21.7,6.6,F-G
386,LeBron James,32,12/31/16,32-001,CLE,@,CHO,W 121-109,1,36,12,25,0.48,8,17,0.471,4,8,0.5,4,6,0.667,0.579,2,4,6,9,1,0,1,1,27,12.1,F-G
387,LeBron James,32,2/4/17,32-036,CLE,@,NYK,W 111-104,1,40,12,20,0.6,8,12,0.667,4,8,0.5,4,5,0.8,0.721,0,5,5,10,0,0,5,1,25.5,11.2,F-G
388,LeBron James,32,2/6/17,32-038,CLE,@,WAS,W 140-135 (OT),1,42,12,18,0.667,6,10,0.6,6,8,0.75,2,5,0.4,0.792,0,7,7,17,2,2,6,6,32,17.2,F-G
389,LeBron James,32,3/24/17,32-084,CLE,@,CHO,W 112-105,1,40,9,14,0.643,9,13,0.692,0,1,0,14,16,0.875,0.76,0,9,9,11,1,2,4,2,33,13.4,F-G
390,LeBron James,32,4/9/17,32-100,CLE,@,ATL,L 125-126 (OT),1,47,11,21,0.524,10,18,0.556,1,3,0.333,9,10,0.9,0.63,3,13,16,10,1,0,3,6,29.9,6.8,F-G
391,LeBron James,32,12/6/17,32-341,CLE,NA,SAC,W 101-95,1,41,12,18,0.667,7,10,0.7,5,8,0.625,3,6,0.5,0.775,2,9,11,9,3,2,7,0,30.8,17.1,F-G
392,LeBron James,32,1/15/18,33-016,CLE,NA,GSW,L 108-118,1,36,12,18,0.667,12,16,0.75,0,2,0,8,13,0.615,0.675,2,6,8,6,3,4,8,3,26.2,12.8,F-G
393,LeBron James,32,2/22/18,33-054,CLE,NA,WAS,L 103-110,1,37,13,18,0.722,12,14,0.857,1,4,0.25,5,9,0.556,0.729,1,8,9,8,2,0,4,2,28.9,15,F-G
394,LeBron James,32,10/22/18,33-296,LAL,NA,SAS,L 142-143 (OT),1,43,11,25,0.44,9,17,0.529,2,8,0.25,8,11,0.727,0.536,2,6,8,14,1,1,5,2,26.6,5.4,F-G
395,LeBron James,32,11/21/18,33-326,LAL,@,CLE,W 109-105,1,36,11,20,0.55,9,14,0.643,2,6,0.333,8,12,0.667,0.633,2,12,14,7,0,1,4,3,26.2,8,F-G
396,LeBron James,32,10/25/19,34-299,LAL,NA,UTA,W 95-86,1,31,12,22,0.545,11,18,0.611,1,4,0.25,7,8,0.875,0.627,2,5,7,10,1,0,1,0,30.9,25.7,F-G
397,LeBron James,32,12/8/19,34-343,LAL,NA,MIN,W 142-125,1,28,12,20,0.6,6,12,0.5,6,8,0.75,2,2,1,0.766,1,3,4,13,1,0,5,4,27.9,16.5,F-G
398,LeBron James,32,12/15/19,34-350,LAL,@,ATL,W 101-96,1,37,12,21,0.571,8,11,0.727,4,10,0.4,4,7,0.571,0.664,1,12,13,7,1,3,4,1,28.8,17.2,F-G
399,LeBron James,32,2/12/20,35-044,LAL,@,DEN,W 120-116 (OT),1,42,15,29,0.517,14,22,0.636,1,7,0.143,1,4,0.25,0.52,1,11,12,14,0,0,3,3,26.1,6.4,F-G
400,LeBron James,32,2/21/20,35-053,LAL,NA,MEM,W 117-105,1,36,10,17,0.588,9,13,0.692,1,4,0.25,11,12,0.917,0.718,0,3,3,7,0,2,1,0,29.9,14.1,F-G
401,LeBron James,32,2/18/21,36-050,LAL,NA,BRK,L 98-109,1,33,14,23,0.609,13,17,0.765,1,6,0.167,3,6,0.5,0.624,0,8,8,7,0,0,3,1,24.2,11.2,F-G
402,LeBron James,32,12/28/21,36-363,LAL,@,HOU,W 132-123,1,39,11,19,0.579,8,14,0.571,3,5,0.6,7,9,0.778,0.697,4,6,10,11,1,2,3,3,32.8,12.3,F-G
403,LeBron James,32,1/7/22,37-008,LAL,NA,ATL,W 134-118,1,37,13,24,0.542,12,18,0.667,1,6,0.167,5,5,1,0.611,1,7,8,9,4,3,4,4,30,9.7,F-G
404,LeBron James,32,2/27/22,37-059,LAL,NA,NOP,L 95-123,1,36,13,23,0.565,12,19,0.632,1,4,0.25,5,5,1,0.635,0,6,6,3,2,2,7,2,20.6,6.3,F-G
405,LeBron James,32,1/18/23,38-019,LAL,NA,SAC,L 111-116,1,37,11,25,0.44,9,16,0.563,2,9,0.222,8,9,0.889,0.552,0,8,8,9,1,1,1,0,27.9,9.9,F-G
406,LeBron James,31,11/6/04,19-312,CLE,@,MIL,L 88-102,1,42,8,20,0.4,8,17,0.471,0,3,0,15,22,0.682,0.522,2,6,8,6,3,0,4,0,23.8,9.2,F-G
407,LeBron James,31,12/13/04,19-349,CLE,@,MEM,W 92-86,1,46,14,22,0.636,13,19,0.684,1,3,0.333,2,4,0.5,0.652,0,5,5,8,7,0,3,2,30.7,18.5,F-G
408,LeBron James,31,12/18/04,19-354,CLE,NA,BOS,L 107-114 (OT),1,41,12,25,0.48,9,20,0.45,3,5,0.6,4,8,0.5,0.543,1,4,5,4,3,1,4,6,18.7,6.9,F-G
409,LeBron James,31,1/24/05,20-025,CLE,NA,WAS,L 97-106,1,48,12,26,0.462,11,25,0.44,1,1,1,6,10,0.6,0.51,4,6,10,8,2,1,5,3,22.7,7,F-G
410,LeBron James,31,2/3/05,20-035,CLE,@,MIA,L 88-100,1,46,11,23,0.478,10,20,0.5,1,3,0.333,8,12,0.667,0.548,2,0,2,10,3,0,2,2,26.3,14.5,F-G
411,LeBron James,31,11/2/05,20-307,CLE,NA,NOK,W 109-87,1,33,9,16,0.563,3,9,0.333,6,7,0.857,7,8,0.875,0.794,1,2,3,4,2,0,3,3,24.9,15.9,F-G
412,LeBron James,31,11/9/05,20-314,CLE,NA,SEA,W 112-85,1,36,10,18,0.556,10,16,0.625,0,2,0,11,11,1,0.679,1,4,5,1,0,1,4,1,21.3,5.6,F-G
413,LeBron James,31,12/27/05,20-362,CLE,@,NJN,L 91-96,1,40,12,21,0.571,11,16,0.688,1,5,0.2,6,9,0.667,0.621,1,9,10,8,2,0,4,3,25.7,12.7,F-G
414,LeBron James,31,2/4/06,21-036,CLE,NA,PHI,L 95-100,1,47,10,17,0.588,8,10,0.8,2,7,0.286,9,10,0.9,0.724,2,2,4,6,2,1,4,0,27.6,12.2,F-G
415,LeBron James,31,12/1/06,21-336,CLE,@,ATL,W 106-95,1,43,12,23,0.522,11,20,0.55,1,3,0.333,6,10,0.6,0.566,2,5,7,8,3,2,4,4,25.4,10.9,F-G
416,LeBron James,31,3/21/07,22-081,CLE,NA,DAL,L 90-98,1,45,12,28,0.429,11,22,0.5,1,6,0.167,6,7,0.857,0.499,0,6,6,4,2,3,6,3,17.3,4,F-G
417,LeBron James,31,4/3/07,22-094,CLE,@,MIN,W 101-88,1,42,13,24,0.542,13,22,0.591,0,2,0,5,5,1,0.592,2,10,12,6,4,1,2,1,30.3,14.9,F-G
418,LeBron James,31,12/17/07,22-352,CLE,NA,MIL,W 104-99 (2OT),1,50,10,25,0.4,10,20,0.5,0,5,0,11,13,0.846,0.505,1,7,8,5,1,0,2,3,20.8,3.1,F-G
419,LeBron James,31,1/9/08,23-010,CLE,@,ATL,L 81-90,1,43,13,22,0.591,13,18,0.722,0,4,0,5,9,0.556,0.597,3,7,10,6,3,1,3,3,27.1,18.4,F-G
420,LeBron James,31,1/11/08,23-012,CLE,NA,CHA,W 113-106 (2OT),1,50,10,20,0.5,8,13,0.615,2,7,0.286,9,15,0.6,0.583,5,14,19,8,4,3,8,3,28.8,11.8,F-G
421,LeBron James,31,2/20/08,23-052,CLE,@,IND,W 106-97,1,43,11,22,0.5,10,17,0.588,1,5,0.2,8,12,0.667,0.568,2,12,14,12,2,1,4,1,30.1,13.1,F-G
422,LeBron James,31,11/18/08,23-324,CLE,@,NJN,W 106-82,1,36,9,20,0.45,8,16,0.5,1,4,0.25,12,17,0.706,0.564,0,8,8,4,0,1,3,3,20.3,5.3,F-G
423,LeBron James,31,12/9/08,23-345,CLE,NA,TOR,W 114-94,1,30,11,18,0.611,9,13,0.692,2,5,0.4,7,8,0.875,0.72,0,5,5,4,3,0,2,1,27.3,18.6,F-G
424,LeBron James,31,12/21/08,23-357,CLE,@,OKC,W 102-91,1,43,14,24,0.583,12,20,0.6,2,4,0.5,1,2,0.5,0.623,2,2,4,7,3,1,3,1,26.6,10.5,F-G
425,LeBron James,31,4/2/09,24-093,CLE,@,WAS,L 101-109,1,38,11,18,0.611,7,10,0.7,4,8,0.5,5,7,0.714,0.735,1,8,9,6,0,0,6,1,22.9,9,F-G
426,LeBron James,31,11/17/09,24-322,CLE,NA,GSW,W 114-108,1,39,11,19,0.579,10,14,0.714,1,5,0.2,8,10,0.8,0.662,0,5,5,12,1,2,2,2,30.8,11.9,F-G
427,LeBron James,31,10/26/10,25-300,MIA,@,BOS,L 80-88,1,43,10,21,0.476,7,15,0.467,3,6,0.5,8,12,0.667,0.59,0,4,4,3,1,2,8,1,16,6.3,F-G
428,LeBron James,31,2/22/11,26-054,MIA,NA,SAC,W 117-97,1,30,14,26,0.538,11,20,0.55,3,6,0.5,0,3,0,0.567,2,6,8,3,0,0,3,4,17.9,0.6,F-G
429,LeBron James,31,3/8/11,26-068,MIA,NA,POR,L 96-105,1,46,14,20,0.7,12,16,0.75,2,4,0.5,1,4,0.25,0.712,1,10,11,8,1,0,4,3,26.5,9.8,F-G
430,LeBron James,31,4/3/11,26-094,MIA,@,NJN,W 108-94,1,39,13,18,0.722,13,16,0.813,0,2,0,5,8,0.625,0.72,2,9,11,7,3,0,7,2,26.6,10.6,F-G
431,LeBron James,31,1/19/12,27-020,MIA,NA,LAL,W 98-87,1,37,12,27,0.444,10,24,0.417,2,3,0.667,5,7,0.714,0.515,3,5,8,8,4,3,3,4,26.8,20.8,F-G
432,LeBron James,31,1/27/12,27-028,MIA,NA,NYK,W 99-89,1,40,11,18,0.611,11,16,0.688,0,2,0,9,10,0.9,0.692,1,7,8,7,0,0,4,2,25.3,8.2,F-G
433,LeBron James,31,3/7/12,27-068,MIA,NA,ATL,W 89-86,1,42,12,20,0.6,12,17,0.706,0,3,0,7,10,0.7,0.635,4,7,11,2,1,2,2,1,26.9,12.4,F-G
434,LeBron James,31,12/6/12,27-342,MIA,NA,NYK,L 92-112,1,39,11,20,0.55,8,15,0.533,3,5,0.6,6,9,0.667,0.647,2,8,10,9,3,0,2,0,31.3,21.4,F-G
435,LeBron James,31,12/12/12,27-348,MIA,NA,GSW,L 95-97,1,42,12,23,0.522,10,19,0.526,2,4,0.5,5,5,1,0.615,1,2,3,5,1,0,4,0,21.5,7.7,F-G
436,LeBron James,31,1/23/13,28-024,MIA,NA,TOR,W 123-116 (OT),1,45,12,23,0.522,11,18,0.611,1,5,0.2,6,7,0.857,0.594,1,9,10,11,0,0,3,1,27,7.2,F-G
437,LeBron James,31,2/4/13,28-036,MIA,NA,CHA,W 99-94,1,38,13,14,0.929,13,14,0.929,0,0,NA,5,6,0.833,0.931,0,8,8,8,2,0,5,1,30.6,18.4,F-G
438,LeBron James,31,2/5/14,29-037,MIA,@,LAC,W 116-112,1,41,11,20,0.55,8,13,0.615,3,7,0.429,6,8,0.75,0.659,1,7,8,12,3,1,7,2,27.7,10,F-G
439,LeBron James,31,2/27/14,29-059,MIA,NA,NYK,W 108-82,1,37,13,19,0.684,12,17,0.706,1,2,0.5,4,6,0.667,0.716,0,4,4,4,0,0,1,0,25.1,11.5,F-G
440,LeBron James,31,11/5/14,29-310,CLE,@,UTA,L 100-102,1,42,8,18,0.444,5,13,0.385,3,5,0.6,12,12,1,0.666,0,3,3,4,3,0,4,2,23.5,11.2,F-G
441,LeBron James,31,2/12/15,30-044,CLE,@,CHI,L 98-113,1,34,12,26,0.462,10,17,0.588,2,9,0.222,5,6,0.833,0.541,0,5,5,4,0,0,8,3,12.3,-3.2,F-G
442,LeBron James,31,3/12/15,30-072,CLE,@,SAS,W 128-125 (OT),1,44,10,20,0.5,7,14,0.5,3,6,0.5,8,10,0.8,0.635,0,5,5,7,2,1,3,2,25.5,9.3,F-G
443,LeBron James,31,11/6/15,30-311,CLE,NA,PHI,W 108-102,1,36,12,22,0.545,9,17,0.529,3,5,0.6,4,6,0.667,0.629,0,4,4,13,2,0,2,1,29.5,17.4,F-G
444,LeBron James,31,11/10/15,30-315,CLE,NA,UTA,W 118-114,1,38,11,19,0.579,10,16,0.625,1,3,0.333,8,12,0.667,0.638,3,4,7,8,2,0,5,2,25.6,7,F-G
445,LeBron James,31,11/13/15,30-318,CLE,@,NYK,W 90-84,1,39,12,21,0.571,12,19,0.632,0,2,0,7,10,0.7,0.61,0,3,3,6,2,1,3,4,23.1,14.6,F-G
446,LeBron James,31,4/3/16,31-095,CLE,NA,CHO,W 112-103,1,41,14,22,0.636,14,22,0.636,0,0,NA,3,3,1,0.665,3,5,8,12,2,0,5,4,28.6,9.6,F-G
447,LeBron James,31,11/23/16,31-329,CLE,NA,POR,W 137-125,1,38,11,21,0.524,9,18,0.5,2,3,0.667,7,8,0.875,0.632,1,9,10,13,3,0,3,0,32.8,11.7,F-G
448,LeBron James,31,12/25/16,31-361,CLE,NA,GSW,W 109-108,1,40,12,22,0.545,8,14,0.571,4,8,0.5,3,7,0.429,0.618,5,8,13,4,2,1,5,2,24.4,11,F-G
449,LeBron James,31,1/4/17,32-005,CLE,NA,CHI,L 94-106,1,37,12,21,0.571,11,19,0.579,1,2,0.5,6,9,0.667,0.621,2,6,8,7,1,0,5,2,23.2,11.3,F-G
450,LeBron James,31,1/27/17,32-028,CLE,NA,BRK,W 124-116,1,34,13,18,0.722,12,15,0.8,1,3,0.333,4,7,0.571,0.735,0,5,5,11,0,0,5,1,26.2,8.4,F-G
451,LeBron James,31,2/15/17,32-047,CLE,NA,IND,W 113-104,1,33,12,17,0.706,8,12,0.667,4,5,0.8,3,4,0.75,0.826,0,5,5,4,1,0,4,2,24,11.6,F-G
452,LeBron James,31,11/15/17,32-320,CLE,@,CHO,W 115-107,1,37,12,24,0.5,8,17,0.471,4,7,0.571,3,3,1,0.612,2,4,6,8,2,1,3,4,25.3,12.2,F-G
453,LeBron James,31,2/27/18,33-059,CLE,NA,BRK,W 129-123,1,39,13,25,0.52,11,21,0.524,2,4,0.5,3,3,1,0.589,4,8,12,11,1,0,1,1,31.2,12.3,F-G
454,LeBron James,31,3/5/18,33-065,CLE,NA,DET,W 112-90,1,29,11,17,0.647,6,10,0.6,5,7,0.714,4,6,0.667,0.789,2,5,7,7,1,0,3,2,27.7,23.5,F-G
455,LeBron James,31,3/1/19,34-061,LAL,NA,MIL,L 120-131,1,39,10,19,0.526,7,11,0.636,3,8,0.375,8,10,0.8,0.662,2,5,7,10,1,0,3,2,28,9.9,F-G
456,LeBron James,31,3/6/19,34-066,LAL,NA,DEN,L 99-115,1,31,13,22,0.591,11,15,0.733,2,7,0.286,3,8,0.375,0.607,0,7,7,7,1,1,4,4,21.9,12,F-G
457,LeBron James,31,12/6/19,34-341,LAL,@,POR,W 136-113,1,34,11,23,0.478,7,14,0.5,4,9,0.444,5,7,0.714,0.594,1,6,7,8,0,1,3,1,23.9,4.3,F-G
458,LeBron James,31,1/1/20,35-002,LAL,NA,PHO,W 117-107,1,38,11,21,0.524,10,17,0.588,1,4,0.25,8,12,0.667,0.59,2,11,13,12,2,1,5,0,29.9,13.7,F-G
459,LeBron James,31,1/7/20,35-008,LAL,NA,NYK,W 117-87,1,31,9,19,0.474,3,7,0.429,6,12,0.5,7,7,1,0.702,0,5,5,5,2,1,4,2,24.2,12.3,F-G
460,LeBron James,31,1/13/20,35-014,LAL,NA,CLE,W 128-99,1,33,12,16,0.75,11,13,0.846,1,3,0.333,6,7,0.857,0.812,0,2,2,8,1,0,3,2,27.6,11.5,F-G
461,LeBron James,31,1/18/20,35-019,LAL,@,HOU,W 124-115,1,35,13,25,0.52,11,18,0.611,2,7,0.286,3,5,0.6,0.57,0,5,5,12,2,0,6,3,22.6,5.5,F-G
462,LeBron James,31,8/8/20,35-222,LAL,@,IND,L 111-116,1,35,13,24,0.542,11,18,0.611,2,6,0.333,3,6,0.5,0.582,1,7,8,7,0,1,1,4,24,9.6,F-G
463,LeBron James,31,2/22/21,36-054,LAL,NA,WAS,L 124-127 (OT),1,43,14,29,0.483,12,19,0.632,2,10,0.2,1,3,0.333,0.511,0,9,9,13,1,0,8,2,19.5,-0.1,F-G
464,LeBron James,31,12/19/21,36-354,LAL,@,CHI,L 110-115,1,39,11,21,0.524,10,14,0.714,1,7,0.143,8,11,0.727,0.6,1,13,14,6,1,2,4,5,24.7,3.8,F-G
465,LeBron James,31,1/4/22,37-005,LAL,NA,SAC,W 122-114,1,36,12,26,0.462,9,16,0.563,3,10,0.3,4,5,0.8,0.55,2,3,5,5,0,1,2,3,20.5,2.2,F-G
466,LeBron James,31,3/13/22,37-073,LAL,@,PHO,L 111-140,1,30,10,20,0.5,5,9,0.556,5,11,0.455,6,7,0.857,0.672,0,7,7,6,0,1,4,0,23.6,10.7,F-G
467,LeBron James,31,10/18/22,37-292,LAL,@,GSW,L 109-123,1,35,12,26,0.462,9,16,0.563,3,10,0.3,4,4,1,0.558,5,10,15,8,0,0,5,2,23.9,6.8,F-G
468,LeBron James,31,10/23/22,37-297,LAL,NA,POR,L 104-106,1,38,12,22,0.545,10,13,0.769,2,9,0.222,5,7,0.714,0.618,1,7,8,8,2,2,4,3,26.2,13.2,F-G
469,LeBron James,31,11/30/22,37-335,LAL,NA,POR,W 128-109,1,33,12,18,0.667,6,10,0.6,6,8,0.75,1,3,0.333,0.802,2,5,7,8,0,1,2,1,29.2,20.3,F-G
